#{"t_start": 1706071016.2035842, "env_id": null}
r,l,t,overtake_vehicle_num,velocity,steering,acceleration,step_energy,episode_energy,policy,action,raw_action,crash_vehicle,crash_object,crash_building,crash_human,crash_sidewalk,out_of_road,arrive_dest,max_step,env_seed,crash,step_reward,cost,total_cost,episode_reward,episode_length,takeover_start,takeover,takeover_cost,total_takeover_cost,native_cost,total_native_cost,ep_overtake_vehicle_num,ep_velocity,ep_steering,ep_acceleration,ep_step_energy,ep_episode_energy,ep_policy,ep_action,ep_raw_action,ep_crash_vehicle,ep_crash_object,ep_crash_building,ep_crash_human,ep_crash_sidewalk,ep_out_of_road,ep_arrive_dest,ep_max_step,ep_env_seed,ep_crash,ep_step_reward,ep_cost,ep_total_cost,ep_episode_reward,ep_episode_length,ep_takeover_start,ep_takeover,ep_takeover_cost,ep_total_takeover_cost,ep_native_cost,ep_total_native_cost
327.426074,342,22.867469,0,12.280728004154893,-0.05632966011762619,0.048938874155282974,0.062117790923990474,17.004370446107274,TakeoverPolicy,"[-0.05632966, 0.048938874]","(-0.05632966, 0.048938874)",False,False,False,False,False,False,True,False,100,False,1.281283537804531,0,6.0,327.4260737865145,342,False,False,0,20.49812653486183,0,6.0,0.0,9.991895572609996,0.010853223163371822,0.202329042894842,0.04972038142136628,6.535610435732604,,0.020317474,0.10659113302910692,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0029239766081871343,0.0,100.0,0.017543859649122806,1.0427885892919955,0.017543859649122806,2.675438596491228,124.21661936583064,171.5,0.06725146198830409,0.4853801169590643,0.059936042499596,6.9196982978203705,0.017543859649122806,2.675438596491228
367.765629,412,48.924652,0,11.046390518425047,0.9995971322059631,0.9999650120735168,0.05400456605248724,16.10705959643535,TakeoverPolicy,"[0.99959713, 0.999965]","(0.99959713, 0.999965)",False,False,False,False,False,False,True,False,100,False,1.1541141111680888,0,0,367.76562911239654,412,False,False,0,43.9076069119984,0,0,0.0,8.48995686037644,0.13853289792057127,0.5533897704580455,0.039094804845716855,7.457027416854644,,0.9997686,0.3459613341893084,0.0,0.0,0.0,0.0,0.0,0.0,0.0024271844660194173,0.0,100.0,0.0,0.8711644252999131,0.0,0.0,166.0087762796337,206.5,0.05339805825242718,0.7160194174757282,0.056819127128972254,32.794361851890955,0.0,0.0
-4.203524,10,54.168443,0,2.210569441554662,-0.9999358654022217,0.9998946785926819,0.007225665504365925,0.03749246532582273,TakeoverPolicy,"[-0.99993587, 0.9998947]","(-0.99993587, 0.9998947)",False,False,False,False,True,True,False,False,100,True,0.16753890541302138,1.0,1.0,-4.203523938510564,10,False,False,0,43.9076069119984,1.0,1.0,0.0,1.2633526682262528,-0.9999347746372222,0.9998926401138306,0.0037492465325822733,0.014178416760813084,,-2.1073221e-05,-2.1073221e-05,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,100.0,0.1,0.09640149669024567,0.1,0.1,-0.1352982521574772,5.5,0.0,0.0,0.0,43.9076069119984,0.1,0.1
-4.04593,11,58.617709,0,1.6793661180196675,0.12024424243227932,0.2,0.005660652493353069,0.041119731264429735,TakeoverPolicy,"[-0.999942, 0.9999097]","(0.12024424243227932, 0.2)",False,False,False,False,True,True,False,False,100,True,0.16764616349178185,1.0,1.0,-4.045929540985613,11,False,True,0,45.614725200042415,1.0,1.0,0.0,1.2142803531421005,-0.7053527446710508,0.7544779495759443,0.003738157387675431,0.01640328075698474,,-1.650236e-05,0.0245626024524468,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,100.0,0.09090909090909091,0.10197423840965171,0.09090909090909091,0.09090909090909091,-0.02220030213125066,6.0,0.09090909090909091,0.18181818181818182,0.15519257164036468,44.373184626919496,0.09090909090909091,0.09090909090909091
22.995534,70,66.165452,0,7.0514203697269755,0.04012823175845089,0.0,0.029736672796761204,1.1237404193572464,TakeoverPolicy,"[-0.99994904, 0.99992406]","(0.04012823175845089, 0.0)",False,False,False,False,True,True,False,False,100,True,0.6630103833629901,1.0,1.0,22.995534157167196,70,True,False,1.7071156114564499,51.636397003870485,1.0,1.0,0.0,4.036185855353771,-0.14458481698506237,0.6285544770104544,0.01605343456224638,0.3286176461474695,,-1.304916e-05,0.241984830012696,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,100.0,0.014285714285714285,0.40940777915043125,0.014285714285714285,0.014285714285714285,8.70934622491159,35.5,0.07142857142857142,0.7142857142857143,0.08602388291182958,49.353003665007854,0.014285714285714285,0.014285714285714285
-4.045899,11,70.750666,0,1.6794807768134639,0.120187593938148,0.2,0.005661043778399658,0.04112181405254822,TakeoverPolicy,"[-0.99996936, 0.99996215]","(0.120187593938148, 0.2)",False,False,False,False,True,True,False,False,100,True,0.1676547856880434,1.0,1.0,-4.045899392511201,11,False,True,0,53.34350631395085,1.0,1.0,0.0,1.2143411184715647,-0.705398842933561,0.7545171423391861,0.0037383467320498383,0.01640404850736587,,-3.6494298e-06,0.024559149702812567,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,100.0,0.09090909090909091,0.10197776301607658,0.09090909090909091,0.09090909090909091,-0.0221864653010901,6.0,0.09090909090909091,0.18181818181818182,0.15519175546185107,52.101972270256034,0.09090909090909091,0.09090909090909091
367.801883,386,94.762895,0,6.107752549833035,0.040122349039163736,0.0,0.02493809221882605,16.191278605602673,TakeoverPolicy,"[-0.9999714, 0.9999654]","(0.040122349039163736, 0.0)",False,False,False,False,False,False,True,False,100,False,0.5024686323075903,0,0,367.80188317385415,386,True,False,1.7071088885924066,74.67141215565017,0,0,0.0,8.952813867931718,-0.207518600624622,0.5766728444111779,0.04194631763109498,8.657064192473142,,-3.4102814e-06,0.18457712189327802,0.0,0.0,0.0,0.0,0.0,0.0,0.0025906735751295338,0.0,100.0,0.0,0.9282496160781387,0.0,0.0,186.57689659197436,193.5,0.06217616580310881,0.6839378238341969,0.05525364207694126,60.723587413241965,0.0,0.0
-4.203593,10,100.048253,0,1.8400313059923918,0.04011178552921312,0.0,0.006783563739660468,0.03704747199147122,TakeoverPolicy,"[-0.99994063, 0.99980795]","(0.04011178552921312, 0.0)",False,False,False,False,True,True,False,False,100,True,0.1658934183122685,1.0,1.0,-4.203593041467683,10,True,False,1.707153694970009,76.37856585062018,1.0,1.0,0.0,1.2262043412566164,-0.8959343606831475,0.8998236179351806,0.0037047471991471224,0.014132927572607831,,-6.7597626e-05,0.0019446286260166254,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,100.0,0.1,0.09623003768445848,0.1,0.1,-0.13533049456167082,5.5,0.1,0.0,0.1707153694970009,74.84212752514716,0.1,0.1
154.943456,225,117.252171,0,5.013727464852882,0.16020776120420396,0.0,0.01966005908885273,7.047584167713777,TakeoverPolicy,"[-0.9999168, 0.99973404]","(0.16020776120420396, 0.0)",False,False,False,False,True,True,False,False,100,True,0.48062667799646763,1.0,2.0,154.94345580748052,225,False,True,0,88.71554426936883,1.0,2.0,0.0,7.254798129517042,-0.19524515969958495,0.56969475168652,0.03132259630095012,3.186917393548923,,-8.6065134e-05,0.18722479599346753,0.0,0.0044444444444444444,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0,0.0,100.0,0.008888888888888889,0.7379888011855629,0.008888888888888889,0.10666666666666667,75.5479799330241,113.0,0.04888888888888889,0.6488888888888888,0.05483101519443856,80.82111394487733,0.008888888888888889,0.10666666666666667
238.171908,201,132.000479,0,21.256124312287938,-0.4095749190491723,0.0,0.1493735886302839,13.055257917246161,TakeoverPolicy,"[-0.08580715, 0.9648673]","(-0.4095749190491723, 0.0)",False,False,False,False,False,True,False,False,100,False,2.153069545991202,1.0,1.0,238.17190788788884,201,False,True,0,102.73448679262219,1.0,1.0,0.0,11.795000863725322,0.011733943404077362,0.5478017640351063,0.06495153192659782,4.249104313065939,,0.4375637,0.2797678537195918,0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.0,0.0,100.0,0.0,1.2205222757904475,0.004975124378109453,0.004975124378109453,90.4313259457422,101.0,0.06467661691542288,0.38308457711442784,0.06974598270275315,95.98044880386844,0.004975124378109453,0.004975124378109453
